Item,Price,Link
PCB + Assembly,$170,JLCPCB
IRFP460 MOSFETs,$12,https://www.amazon.com/ACEIRMC-Transistors-IRFP260N-N-Channel-IRFP260NPBF/dp/B0CGHP2LH6
AC Cable,$7,https://www.amazon.com/Standard-Electronics-Computer-Printer-Monitor/dp/B09VRLJD7J/
25A 24V PSU ,N/A,Already Owned
Flyback Transformers (2),$50,https://www.amazon.com/TEAMWILL-Transformer-BSC24-39202-BSC26-N2137-BSC26-N2138/dp/B09P2Y9X9F/
,,
Total:,$239,
